strain	Count	Percent
-	3100	0.7233
Mycolicibacterium smegmatis MC2 155	725	0.1692
Salmonella enterica subsp. enterica	138	0.0322
Escherichia coli K-12	53	0.0124
Pseudomonas aeruginosa PAO1	27	0.0063
Pectobacterium carotovorum subsp. carotovorum	12	0.0028
Escherichia coli BL21(DE3)	9	0.0021
Ruegeria pomeroyi DSS-3	9	0.0021
Staphylococcus aureus subsp. aureus NCTC 8325	9	0.0021
Escherichia coli B	9	0.0021
Lactococcus lactis subsp. lactis Il1403	8	0.0019
Pseudomonas aeruginosa PAK	7	0.0016
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	7	0.0016
Streptomyces venezuelae ATCC 10712	7	0.0016
Aeromonas hydrophila subsp. hydrophila	6	0.0014
Streptococcus pyogenes MGAS315	6	0.0014
Caulobacter vibrioides CB15	5	0.0012
Lactobacillus delbrueckii subsp. lactis	5	0.0012
Candidatus Pelagibacter ubique HTCC1062	4	0.0009
Listeria monocytogenes FSL J1-208	4	0.0009
Escherichia coli C	4	0.0009
Salmonella enterica subsp. salamae	3	0.0007
Prochlorococcus marinus subsp. pastoris str. CCMP1986	3	0.0007
Salinibacter ruber M8	3	0.0007
Leuconostoc mesenteroides subsp. mesenteroides	3	0.0007
Paenibacillus larvae subsp. pulvifaciens	3	0.0007
Parasynechococcus marenigrum WH 8102	3	0.0007
Escherichia coli BL21	3	0.0007
Klebsiella pneumoniae subsp. pneumoniae	3	0.0007
Dickeya solani MK10	3	0.0007
Prochlorococcus marinus str. NATL2A	3	0.0007
Vibrio parahaemolyticus RIMD 2210633	3	0.0007
Burkholderia pseudomallei K96243	3	0.0007
Pseudomonas fluorescens SBW25	2	0.0005
Lactococcus lactis subsp. lactis	2	0.0005
Cellulophaga baltica NN016038	2	0.0005
Pectobacterium atrosepticum SCRI1043	2	0.0005
Croceibacter atlanticus HTCC2559	2	0.0005
Streptomyces coelicolor A3(2)	2	0.0005
Bacillus subtilis subsp. subtilis str. 168	2	0.0005
Haloarcula hispanica ATCC 33960	2	0.0005
Listeria monocytogenes serotype 4b str. F2365	2	0.0005
Thermus thermophilus HB8	2	0.0005
Lactococcus cremoris subsp. cremoris	2	0.0005
Streptomyces griseus subsp. griseus	2	0.0005
Escherichia coli HS	2	0.0005
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	1	0.0002
Streptococcus salivarius 57.I	1	0.0002
Bacillus velezensis FZB42	1	0.0002
Staphylococcus aureus subsp. aureus COL	1	0.0002
Streptococcus suis SS12	1	0.0002
Escherichia coli W	1	0.0002
Colwellia psychrerythraea 34H	1	0.0002
Priestia megaterium DSM 319	1	0.0002
Thermus thermophilus HB27	1	0.0002
Vibrio alginolyticus NBRC 15630 = ATCC 17749	1	0.0002
Escherichia coli CFT073	1	0.0002
Lactobacillus delbrueckii subsp. bulgaricus	1	0.0002
Vibrio campbellii ATCC BAA-1116	1	0.0002
Pseudomonas aeruginosa PA1	1	0.0002
Acidithiobacillus caldus ATCC 51756	1	0.0002
Saccharolobus solfataricus P2	1	0.0002
Thermoanaerobacterium saccharolyticum JW/SL-YS485	1	0.0002
Bacillus pumilus SAFR-032	1	0.0002
Lactococcus garvieae Lg2	1	0.0002
Candidatus Puniceispirillum marinum IMCC1322	1	0.0002
Streptococcus suis D12	1	0.0002
Listeria monocytogenes EGD-e	1	0.0002
Bacteroides thetaiotaomicron VPI-5482	1	0.0002
Candidatus Liberibacter asiaticus str. psy62	1	0.0002
Enterococcus faecalis 62	1	0.0002
Clostridium perfringens ATCC 13124	1	0.0002
Levilactobacillus brevis ATCC 367	1	0.0002
Prochlorococcus marinus str. MIT 9303	1	0.0002
Staphylococcus epidermidis RP62A	1	0.0002
Staphylococcus aureus subsp. aureus str. Newman	1	0.0002
Prochlorococcus marinus subsp. marinus str. CCMP1375	1	0.0002
Aeropyrum pernix K1	1	0.0002
Escherichia coli RS218	1	0.0002
Sodalis glossinidius str. 'morsitans'	1	0.0002
Burkholderia cenocepacia J2315	1	0.0002
Salmonella enterica subsp. diarizonae	1	0.0002
Aeromonas hydrophila subsp. hydrophila ATCC 7966	1	0.0002
Bacillus subtilis subsp. natto	1	0.0002
Listeria monocytogenes WSLC1042	1	0.0002
Cronobacter malonaticus LMG 23826	1	0.0002
Leuconostoc mesenteroides subsp. dextranicum	1	0.0002
Burkholderia cenocepacia HI2424	1	0.0002
Aeromonas salmonicida subsp. salmonicida	1	0.0002
Campylobacter jejuni subsp. jejuni	1	0.0002
Lactococcus lactis subsp. cremoris MG1363	1	0.0002
Burkholderia pseudomallei 1026b	1	0.0002
Staphylococcus pseudintermedius E140	1	0.0002
Staphylococcus aureus subsp. aureus N315	1	0.0002
Enterococcus faecalis V583	1	0.0002
Prochlorococcus marinus str. MIT 9313	1	0.0002
Aggregatibacter actinomycetemcomitans D11S-1	1	0.0002
Streptococcus pneumoniae D39	1	0.0002
Streptococcus suis ST1	1	0.0002
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	1	0.0002
Mycobacteroides abscessus subsp. bolletii	1	0.0002
Klebsiella pneumoniae KCTC 2242	1	0.0002
Clostridium perfringens SM101	1	0.0002
Sulfolobus islandicus LAL14/1	1	0.0002
Klebsiella pneumoniae subsp. pneumoniae KPNIH1	1	0.0002
Bacillus cereus ATCC 14579	1	0.0002
Campylobacter jejuni subsp. jejuni 00-2425	1	0.0002
Bacillus thuringiensis serovar kurstaki str. HD-1	1	0.0002
Mycobacterium avium subsp. paratuberculosis	1	0.0002
Bacillus anthracis str. Vollum	1	0.0002
Pseudomonas aeruginosa UCBPP-PA14	1	0.0002
Chlamydia pneumoniae AR39	1	0.0002
Clavibacter michiganensis subsp. michiganensis	1	0.0002
Nitrososphaera viennensis EN76	1	0.0002
Klebsiella pneumoniae subsp. ozaenae	1	0.0002
Photobacterium damselae subsp. damselae	1	0.0002
